Name,Branch,Year,Email,Interests
Suzanne Meyer,CIVIL,4,terrellblake@sanchez.org,"Robotics, O'Connor"
Julie Price,MBA,2,grahamjared@long-davis.info,App Dev
Joseph Guerrero,ECE,second,invalid-email.com,"Jürgen, DSA"
Shelly Brown,LAW,4,zimmermankirk@williams-love.org,"Cloud, AI/ML, Jürgen"
Jonathan Orozco II,LAW,second,nanderson@gmail.com,"Cloud, AI/ML, Blockchain"
Kayla Jimenez,CSE,1,paynedonna@fox-garza.biz,"😊, Cloud, DSA, Web Dev"
Mary Johnson,CSE,second,lestermary@yahoo.com,"😊, Jürgen"
Rebekah Lambert,EEE,4,waynewhite@gmail.com,
Jessica Riley,CSE,3,paulamoore@neal.com,Robotics
Lorraine Stephenson,CSE,2,paigethomas@tucker-mendoza.net,"Web Dev, AI/ML"
Evelyn Hardy,MECH,2,wshah@hotmail.com,"Web Dev, Cloud"
Jonathan Gonzalez,CSE,second,jennifer96@gmail.com,"Jürgen, 张伟"
Margaret Downs,MBA,3,kara59@larson-christian.com,Jürgen
Rebecca Mcclain,LAW,second,walterheather@mendoza.info,App Dev
Jeffrey Reed,CIVIL,5,adamreed@yahoo.com,"😊, Jürgen, Robotics, Cloud"
Samantha Medina,IT,second,rjoseph@atkins.net,"App Dev, Cloud, DSA"
Melissa Fischer,CIVIL,2,mrichardson@nelson.net,"Cybersecurity, Blockchain, Jürgen"
Jürgen,,1,invalid-email.com,
Jonathan Knapp,CIVIL,3,joanlewis@johnson-hodge.com,"Cybersecurity, Cloud"
Alexis Payne,LAW,second,cathy49@hotmail.com,"Blockchain, Cloud, AI/ML"
Lauren Becker,MBA,2,susan86@stewart.org,Jürgen
Jessica Miller,MECH,4,gbrown@sanders-barnett.com,"Blockchain, O'Connor"
,LAW,2,tammyschwartz@jones.com,"DSA, App Dev"
Gina Miller,LAW,1,urichardson@murphy.org,Blockchain
Sonya Taylor,IT,4,aprilshea@guzman.com,"DSA, Blockchain, Robotics"
Jacob Wang,ECE,4,courtney83@hotmail.com,"O'Connor, Jürgen, Web Dev, 张伟"
Keith Cox,EEE,3,bryantrichard@thompson-miller.org,"Blockchain, Cloud, O'Connor, 😊"
Jill Cantrell,IT,5,kimsmith@gmail.com,
Tracy Morales,CSE,4,rmiller@yahoo.com,Cybersecurity
Justin Nelson,EEE,1,williamsnancy@gray.com,"Blockchain, App Dev, Cloud, Robotics"
Albert Mendoza,EEE,3,austinkevin@yahoo.com,"AI/ML, 张伟, DSA"
Andrew Griffin,LAW,3,joanna08@yahoo.com,"张伟, App Dev, O'Connor, Blockchain"
Kathleen Watts,MBA,second,invalid-email.com,"Cybersecurity, Web Dev"
Kyle Long,IT,1,foxalyssa@yahoo.com,"DSA, Cloud"
Karen Camacho,ECE,2,melissa71@hotmail.com,Cloud
Brandy Krueger,EEE,2,mikemiller@gmail.com,"O'Connor, 张伟, Blockchain"
Jamie Miles,EEE,4,leenicholas@gmail.com,"Web Dev, AI/ML, Cloud, DSA"
张伟,CIVIL,2,newmanjonathan@gmail.com,
Benjamin Thomas,ECE,2,gutierrezjoseph@gmail.com,"App Dev, Jürgen"
Carol Taylor,ECE,second,ronald37@yahoo.com,"AI/ML, Web Dev, DSA"
Linda Manning,MECH,5,sweeneygregory@yahoo.com,"AI/ML, Robotics"
Timothy Hernandez,EEE,4,denise33@gmail.com,"Cybersecurity, Robotics"
Destiny Elliott,CIVIL,4,leejacob@yahoo.com,"Cloud, Web Dev, Blockchain, DSA"
Samantha Gilbert,LAW,4,stephanie56@hotmail.com,"DSA, Web Dev"
Robert Gray,MBA,2,willisraven@hotmail.com,O'Connor
Stacie Obrien,MECH,4,hollandbrandi@yahoo.com,"Jürgen, DSA, Web Dev"
Sharon Johnson,CIVIL,2,colleendeleon@galloway.net,"App Dev, AI/ML"
,,5,invalid-email.com,
Bryce Joyce,ECE,1,kbullock@lane-aguilar.org,App Dev
Jason Jones,CIVIL,2,gmaldonado@gmail.com,O'Connor
Stacy Norris,CSE,2,rodriguezmary@gilbert.com,O'Connor
Jessica Young,LAW,5,frankbutler@gmail.com,DSA
Sara Li,EEE,5,ilopez@hall-washington.info,"Web Dev, O'Connor"
Michelle Vasquez,MECH,2,lindsey46@yahoo.com,"Robotics, App Dev, O'Connor"
Joseph Castillo,IT,second,laura15@stanley-wise.com,"😊, Cloud"
Matthew Stevens,CSE,2,shawdonna@gmail.com,Jürgen
Stephanie Allen,MBA,3,batesjon@ruiz.com,"Robotics, DSA, Jürgen"
Jürgen,IT,3,weeksvirginia@garcia.info,
Christina Herring,LAW,3,leslie96@hotmail.com,Cybersecurity
David Richmond,CIVIL,second,cody46@hotmail.com,"Jürgen, Cloud, AI/ML"
Andrea Brown,CSE,second,gentryjessica@michael-berry.com,"Jürgen, App Dev"
Cassidy Griffin,MECH,3,jacksonrachel@gmail.com,"Web Dev, Jürgen, 😊, Blockchain"
Eric Jones,EEE,4,invalid-email.com,"AI/ML, Web Dev, Jürgen"
Steven Young,IT,3,jennifer63@mcguire-brown.com,"Robotics, O'Connor, Blockchain, Cloud"
Mary Bond,MBA,5,pdaniels@guzman.com,DSA
Samuel Estrada,CIVIL,2,mitchell79@hotmail.com,"Robotics, AI/ML"
Ronald Madden,MECH,3,wendyramos@carter.com,"Jürgen, Robotics, Blockchain, O'Connor"
Kristina Whitney,ECE,5,james70@morse-gillespie.org,
Robert Ware,MECH,3,swelch@yahoo.com,"AI/ML, DSA, Cybersecurity"
Timothy Alexander,IT,2,melissa31@yahoo.com,"App Dev, Web Dev, O'Connor, AI/ML"
Jason Walker,EEE,1,christopher20@gmail.com,AI/ML
Susan Lewis,IT,1,gamblejenna@sandoval.net,App Dev
,ECE,3,kelsey82@hotmail.com,"DSA, App Dev, Jürgen"
Felicia Green,MECH,2,burgessdebbie@yahoo.com,"Cybersecurity, Cloud, Blockchain"
Nicole Oliver,CSE,second,joshua57@hotmail.com,"Jürgen, Cloud"
Jessica Jones,LAW,second,benjaminbenitez@smith.org,"Cybersecurity, Robotics"
Scott Mcbride,EEE,4,bsimmons@hotmail.com,"Cybersecurity, Cloud, O'Connor"
O'Connor,,2,invalid-email.com,
Scott Riley,CSE,second,nmartin@martinez-adams.com,Web Dev
Rachel Livingston,IT,4,hevans@yahoo.com,"AI/ML, Cybersecurity"
Brian Coffey,IT,5,murraykristin@hotmail.com,"App Dev, O'Connor, AI/ML"
Kimberly Norris,LAW,second,rogerstark@tucker.info,"Robotics, 😊"
Matthew Ingram,ECE,3,brittany20@jimenez-washington.com,App Dev
Dana Miller,EEE,3,kim77@yahoo.com,张伟
Katherine Wilson,CSE,5,raybianca@avila.com,"Robotics, O'Connor"
Amy Conley,EEE,3,hallmiguel@hotmail.com,"O'Connor, 张伟"
Hailey Atkins,ECE,5,thomasjason@hotmail.com,DSA
Russell Bradford,CIVIL,4,dianemiller@yahoo.com,
Hunter Everett,IT,1,brewerkelly@duffy.net,"Web Dev, Robotics, Blockchain"
Lauren Garza,LAW,4,timothy90@hernandez.com,"Web Dev, DSA, Jürgen, Blockchain"
Monica Taylor,EEE,second,michael92@hotmail.com,"Blockchain, 张伟, Jürgen, Web Dev"
Gregory Carr,ECE,3,robin15@davis-smith.biz,"Jürgen, DSA, 张伟"
Molly Smith,IT,1,invalid-email.com,Cloud
David Le,MBA,5,jennifer07@juarez.com,"Web Dev, Robotics, 😊"
Melinda Hensley,CSE,3,blevinsmeagan@smith-nichols.com,"Cloud, App Dev, 😊, DSA"
Lisa Durham,ECE,2,phillip30@hotmail.com,"Cybersecurity, AI/ML, 张伟, Jürgen"
Scott Ramirez,MECH,5,owenkent@wagner.biz,Blockchain
